wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
900.62,1125.172448,973.8555039999999,1128.619,1211.4258,1283.1805,1176.2257,1178.7472,1193.0677,1227.8588,1204.0,1339.0,1141.873
902.84,1126.21342,975.1462020000001,1119.8239,1216.80712,1287.7467199999999,1177.6478,1179.696,1192.8701,1227.1613,1210.0,1175.0,1147.538
905.06,1124.5050999999999,970.01258,1115.8953,1216.5027599999999,1289.20712,1180.925,1180.5754,1195.081,1227.6034,1233.0,1243.0,1148.158
907.28,1124.4320400000001,976.935854,1128.3167,1224.64634,1294.06168,1181.7227,1179.9005,1195.4325,1226.7283,1233.0,1311.0,1151.9508
909.48,1126.205,978.4333999999999,1120.3976,1225.4613,1295.17688,1183.1764,1180.384,1194.0713,1224.8706,1135.0,1270.0,1151.2043
911.7,1128.945752,981.582358,1121.7667,1233.4940000000001,1301.33552,1183.141,1182.3569,1197.4359,1226.1079,1175.0,1250.0,1152.735
913.92,1129.52822,979.573474,1112.5571,1234.2199,1299.2084200000002,1187.6951,1184.2618,1198.0359,1226.6464,1288.0,1201.0,1156.5282
916.14,1132.908432,978.97999,1112.0453,1238.586,1305.76476,1188.3682,1185.248,1198.9434,1226.2363,1191.0,1156.0,1158.6083
918.36,1130.79734,981.73385,1115.6333,1239.67182,1304.2550999999999,1188.5238,1186.7019,1199.7062,1226.3208,1168.0,1261.0,1159.3363
920.58,1132.5816200000002,985.689384,1108.1381,1241.4948,1308.10062,1191.9713,1188.9133,1202.5975,1228.729,1224.0,1273.0,1166.3125
922.81,1132.97366,983.4434000000001,1109.0024,1242.72862,1306.87548,1191.5914,1189.3794,1203.3789,1226.9534,1227.0,1326.0,1165.9694
925.04,1133.298266,984.732968,1112.2667,1243.95522,1304.92852,1194.6792,1190.0634,1204.2955,1227.8008,1088.0,1307.0,1167.9614
